order_id,customer_id,sku,category,price,qty,order_date,region
O00001,C0067,SKU029,books,531,5,2026-05-08,bangkok
O00002,C0103,SKU021,books,574,10,2026-01-05,bangkok
O00003,C0108,SKU048,food,1119,3,2026-04-04,chiang_mai
O00004,C0038,SKU046,food,1138,3,2026-05-29,bangkok
O00005,C0166,SKU005,electronics,314,3,2026-02-26,phuket
O00006,C0087,SKU041,food,200,9,2026-03-12,bangkok
O00007,C0183,SKU023,books,1043,7,2026-02-25,khon_kaen
O00008,C0066,SKU048,food,903,5,2026-04-24,phuket
O00009,C0082,SKU014,clothing,1679,7,2026-01-22,bangkok
O00010,C0148,SKU001,electronics,941,3,2026-06-20,bangkok
O00011,C0025,SKU018,clothing,1035,2,2026-05-05,phuket
O00012,C0194,SKU035,home,379,7,2026-05-15,bangkok
O00013,C0090,SKU040,home,204,10,2026-04-09,chiang_mai
O00014,C0111,SKU037,home,1683,8,2026-04-09,phuket
O00015,C0196,SKU025,books,327,5,2026-01-11,chiang_mai
O00016,C0055,SKU014,clothing,2000,10,2026-03-15,phuket
O00017,C0176,SKU015,clothing,310,9,2026-05-04,phuket
O00018,C0079,SKU040,home,207,5,2026-04-14,bangkok
O00019,C0084,SKU039,home,547,10,2026-04-28,khon_kaen
O00020,C0044,SKU025,books,356,10,2026-01-08,khon_kaen
O00021,C0006,SKU030,books,223,10,2026-06-26,bangkok
O00022,C0159,SKU048,food,1073,6,2026-01-25,phuket
O00023,C0023,SKU047,food,732,2,2026-01-17,chiang_mai
O00024,C0191,SKU011,clothing,1648,6,2026-06-15,khon_kaen
O00025,C0112,SKU030,books,207,5,2026-06-29,bangkok
O00026,C0010,SKU006,electronics,1471,10,2026-04-26,khon_kaen
O00027,C0016,SKU021,books,447,10,2026-02-27,khon_kaen
O00028,C0133,SKU021,books,556,2,2026-04-17,bangkok
O00029,C0119,SKU011,clothing,1798,3,2026-05-07,chiang_mai
O00030,C0033,SKU002,electronics,8749,3,2026-02-21,bangkok
O00031,C0186,SKU004,electronics,1658,9,2026-05-11,khon_kaen
O00032,C0082,SKU034,home,325,8,2026-01-06,phuket
O00033,C0122,SKU017,clothing,1059,7,2026-03-17,phuket
O00034,C0070,SKU036,home,516,9,2026-04-20,khon_kaen
O00035,C0135,SKU041,food,188,4,2026-05-05,bangkok
O00036,C0028,SKU010,electronics,494,8,2026-03-21,khon_kaen
O00037,C0091,SKU043,food,1331,4,2026-04-03,phuket
O00038,C0020,SKU025,books,307,3,2026-05-23,chiang_mai
O00039,C0009,SKU029,books,665,3,2026-05-09,khon_kaen
O00040,C0078,SKU030,books,208,7,2026-02-02,chiang_mai
O00041,C0190,SKU048,food,964,7,2026-01-21,khon_kaen
O00042,C0080,SKU019,clothing,1734,9,2026-01-14,phuket
O00043,C0154,SKU010,electronics,449,6,2026-01-01,phuket
O00044,C0022,SKU021,books,461,9,2026-02-13,phuket
O00045,C0118,SKU031,home,1514,7,2026-06-22,khon_kaen
O00046,C0084,SKU001,electronics,1079,7,2026-03-01,khon_kaen
O00047,C0055,SKU024,books,1880,2,2026-01-20,bangkok
O00048,C0175,SKU029,books,665,6,2026-04-13,khon_kaen
O00049,C0115,SKU005,electronics,260,6,2026-03-29,khon_kaen
O00050,C0144,SKU021,books,474,2,2026-04-05,bangkok
O00051,C0015,SKU025,books,315,8,2026-06-29,khon_kaen
O00052,C0062,SKU024,books,1588,10,2026-05-30,chiang_mai
O00053,C0086,SKU001,electronics,1148,1,2026-03-27,bangkok
O00054,C0026,SKU013,clothing,1095,5,2026-04-24,bangkok
O00055,C0032,SKU046,food,1003,8,2026-04-30,bangkok
O00056,C0032,SKU028,books,972,6,2026-01-07,bangkok
O00057,C0099,SKU036,home,384,2,2026-01-12,phuket
O00058,C0013,SKU045,food,182,9,2026-06-02,phuket
O00059,C0024,SKU023,books,901,5,2026-06-28,phuket
O00060,C0059,SKU027,books,916,2,2026-06-23,phuket
O00061,C0098,SKU048,food,943,4,2026-04-20,phuket
O00062,C0146,SKU022,books,1536,9,2026-04-01,bangkok
O00063,C0037,SKU026,books,2000,5,2026-02-21,khon_kaen
O00064,C0170,SKU046,food,1047,6,2026-06-20,phuket
O00065,C0076,SKU011,clothing,1555,8,2026-04-19,chiang_mai
O00066,C0193,SKU016,clothing,657,10,2026-05-23,phuket
O00067,C0042,SKU029,books,584,4,2026-05-13,bangkok
O00068,C0081,SKU025,books,353,5,2026-03-10,phuket
O00069,C0100,SKU044,food,290,8,2026-03-22,khon_kaen
O00070,C0068,SKU001,electronics,1151,2,2026-05-30,bangkok
O00071,C0186,SKU010,electronics,483,4,2026-02-08,phuket
O00072,C0007,SKU047,food,553,4,2026-06-23,phuket
O00073,C0003,SKU015,clothing,376,5,2026-05-06,chiang_mai
O00074,C0069,SKU026,books,1829,2,2026-02-21,bangkok
O00075,C0044,SKU002,electronics,1263,2,2026-04-04,bangkok
O00076,C0093,SKU002,electronics,1200,10,2026-05-16,khon_kaen
O00077,C0102,SKU013,clothing,1043,5,2026-05-07,khon_kaen
O00078,C0179,SKU009,electronics,1336,4,2026-02-28,chiang_mai
O00079,C0123,SKU026,books,1646,10,2026-05-15,bangkok
O00080,C0097,SKU016,clothing,753,7,2026-03-16,chiang_mai
O00081,C0095,SKU044,food,7730,4,2026-03-16,phuket
O00082,C0152,SKU005,electronics,271,4,2026-05-04,phuket
O00083,C0020,SKU018,clothing,967,8,2026-06-28,khon_kaen
O00084,C0119,SKU032,home,115,4,2026-01-03,chiang_mai
O00085,C0080,SKU048,food,964,3,2026-04-25,phuket
O00086,C0001,SKU034,home,322,2,2026-04-25,phuket
O00087,C0166,SKU008,electronics,1595,8,2026-04-15,phuket
O00088,C0024,SKU018,clothing,869,7,2026-04-11,khon_kaen
O00089,C0166,SKU041,food,223,2,2026-03-08,khon_kaen
O00090,C0078,SKU030,books,200,10,2026-05-02,khon_kaen
O00091,C0033,SKU037,home,1392,4,2026-02-27,khon_kaen
O00092,C0063,SKU017,clothing,1281,6,2026-05-13,bangkok
O00093,C0037,SKU032,home,115,1,2026-04-24,phuket
O00094,C0027,SKU032,home,122,1,2026-01-03,chiang_mai
O00095,C0174,SKU034,home,300,1,2026-01-07,khon_kaen
O00096,C0084,SKU019,clothing,1916,8,2026-05-29,bangkok
O00097,C0058,SKU001,electronics,1001,5,2026-06-13,bangkok
O00098,C0074,SKU017,clothing,1082,8,2026-02-24,phuket
O00099,C0064,SKU050,food,926,5,2026-06-10,chiang_mai
O00100,C0010,SKU018,clothing,938,5,2026-03-19,chiang_mai
O00101,C0048,SKU010,electronics,530,2,2026-01-21,khon_kaen
O00102,C0012,SKU011,clothing,1892,9,2026-05-28,chiang_mai
O00103,C0014,SKU006,electronics,1337,8,2026-04-08,bangkok
O00104,C0052,SKU036,home,414,2,2026-02-07,chiang_mai
O00105,C0162,SKU014,clothing,1988,5,2026-05-15,khon_kaen
O00106,C0168,SKU035,home,360,2,2026-05-07,phuket
O00107,C0047,SKU024,books,1556,7,2026-06-07,phuket
O00108,C0017,SKU037,home,1578,6,2026-06-21,bangkok
O00109,C0021,SKU009,electronics,1216,1,2026-04-15,khon_kaen
O00110,C0140,SKU023,books,1176,7,2026-01-16,phuket
O00111,C0057,SKU009,electronics,1198,9,2026-02-15,khon_kaen
O00112,C0141,SKU026,books,1555,7,2026-04-01,khon_kaen
O00113,C0023,SKU015,clothing,392,6,2026-05-05,bangkok
O00114,C0003,SKU033,home,406,6,2026-06-30,khon_kaen
O00115,C0096,SKU050,food,817,10,2026-06-04,khon_kaen
O00116,C0058,SKU042,food,478,5,2026-05-27,khon_kaen
O00117,C0176,SKU037,home,1518,3,2026-05-04,bangkok
O00118,C0200,SKU040,home,197,1,2026-06-02,bangkok
O00119,C0137,SKU042,food,389,5,2026-06-03,chiang_mai
O00120,C0172,SKU026,books,2000,9,2026-05-21,chiang_mai
O00121,C0041,SKU036,home,410,1,2026-01-24,phuket
O00122,C0060,SKU048,food,1060,5,2026-01-01,khon_kaen
O00123,C0013,SKU049,food,1640,2,2026-06-14,khon_kaen
O00124,C0024,SKU019,clothing,1565,9,2026-06-19,chiang_mai
O00125,C0137,SKU048,food,1048,7,2026-05-11,phuket
